1;-1,50;70,00;0,74;1,00;6,33;6,34;6,22;0,36;4,77;8,35;13;;37;24
2;0,98;62,43;1,64;0,00;8,82;8,69;2,47;-2,81;0,77;-7,57;50;;35;15
3;-1,08;55,78;2,74;0,00;6,64;0,42;-2,05;-5,88;-14,22;-6,65;20;;9;11
4;1,80;49,52;2,02;0,00;3,30;0,83;2,88;-20,48;-12,91;-6,26;20;;34;14
5;0,26;54,90;1,74;0,00;-0,72;1,33;-1,55;-7,52;-0,87;5,39;19;;24;5
6;5,75;59,52;2,87;11,00;6,82;3,95;5,49;3,74;10,00;4,62;10;;9;1
7;6,80;62,21;1,51;9,00;4,99;6,54;1,05;12,70;7,31;2,70;5;;27;22
8;11,21;58,19;1,76;2,80;10,95;5,46;4,41;3,28;-1,33;-4,03;24;;35;11
9;11,25;64,32;1,54;1,30;5,50;4,46;0,04;4,80;2,11;6,13;5;;3;2
10;20,01;77,56;0,96;10,00;8,83;4,28;1,21;0,34;5,17;12,06;2;;2;0
11;21,23;70,22;1,28;0,40;5,50;2,44;1,23;-2,17;4,72;-7,34;24;;2;22
12;20,50;72,82;1,52;5,00;1,71;0,49;-0,73;7,32;-4,74;2,60;13;;2;11
13;19,06;74,62;1,76;11,70;-0,95;-2,17;-1,44;-2,94;4,40;1,80;1;;2;1
14;20,58;72,02;1,25;2,00;-0,66;0,08;1,52;1,80;-0,80;-2,60;2;;32;30
15;22,63;66,45;1,29;0,00;2,13;3,57;2,05;-6,38;-8,17;-5,57;5;;9;4
16;18,88;64,77;1,73;0,30;-0,18;-1,70;-3,75;-9,85;-7,25;-1,67;2;;2;0
17;1,70;68,78;1,52;4,70;20,89;11,56;2,34;1,12;-0,70;-3,16;3;;26;23
18;-1,58;59,02;2,25;0,00;8,28;-0,94;-3,28;-10,46;-12,93;-9,76;14;;25;11
19;3,50;62,76;1,20;0,00;4,14;1,79;5,08;-9,18;-6,02;3,75;28;;2;26
20;7,78;65,61;2,39;32,00;6,08;9,36;4,28;-3,17;6,59;2,84;3;;2;1
21;7,46;52,45;3,00;0,00;9,03;3,96;-0,32;-6,56;-10,31;-13,15;5;;11;6
22;10,29;53,25;3,22;12,30;6,80;2,51;2,84;-9,52;-12,36;0,79;3;;4;1
23;12,48;50,60;2,54;0,00;4,70;5,02;2,18;-15,01;-1,86;-2,65;5;;36;31
24;-5,39;63,00;1,24;0,00;9,60;-0,10;-1,11;-9,06;-3,87;-1,29;2;;2;0
25;3,35;63,69;1,52;0,00;8,63;7,62;8,74;-3,19;-0,60;0,69;27;;33;6
26;6,47;64,18;2,09;3,80;10,75;11,86;3,12;-0,10;1,18;0,50;2;;31;29
27;7,59;53,91;2,35;0,00;12,98;4,25;1,12;-9,09;-9,78;-10,27;7;;12;5
28;10,99;48,94;2,17;0,00;7,64;4,52;3,39;-14,74;-15,24;-4,96;4;;26;22
29;12,53;67,16;1,46;26,40;6,06;4,93;1,54;2,98;13,25;18,22;2;;2;0
30;13,45;69,53;0,90;1,80;5,86;2,47;0,93;15,62;20,58;2,37;1;;2;1
31;17,06;71,59;1,04;3,00;4,53;3,60;0,15;4,43;2,06;4,96;1;;2;1
32;-1,75;59,53;1,91;6,20;12,94;10,57;6,89;-12,32;-11,11;-10,70;5;;10;5
33;-0,70;61,29;2,44;3,00;11,62;7,94;1,05;-9,34;-8,93;1,76;5;;17;12
34;-1,39;67,11;1,26;0,00;7,25;0,36;-0,70;-3,12;7,58;5,82;21;;2;19
35;2,81;70,15;1,06;0,00;4,56;3,51;4,21;10,62;8,86;3,04;14;;3;11
36;5,07;60,91;0,91;0,00;5,77;6,47;2,26;-0,38;-6,19;-9,23;23;;37;14
37;7,37;55,53;1,32;0,00;8,76;4,55;2,29;-11,57;-14,62;-5,38;7;;15;8
38;7,86;59,62;1,79;9,00;5,05;2,79;0,50;-10,53;-1,30;4,09;3;;9;6
39;8,58;58,55;2,42;4,00;3,51;1,21;0,71;-2,37;3,02;-1,07;4;;33;29
40;11,27;73,17;0,94;32,80;3,90;3,40;2,69;17,64;13,55;14,63;1;;2;1
41;19,52;82,85;0,67;1,00;1,58;0,64;0,72;10,65;7,78;4,58;1;;2;1
42;22,66;76,93;1,11;3,20;3,79;3,87;3,14;1,87;-1,33;-5,91;1;;33;32
43;-17,93;61,02;1,88;0,80;6,07;3,36;-0,31;-5,61;-9,22;-8,59;2;;14;12
44;-11,42;65,48;1,17;0,00;9,88;6,20;6,51;-4,76;-4,13;4,46;4;;38;34
45;-6,62;57,76;1,87;0,40;11,31;4,80;-0,44;-3,25;-7,72;1,87;54;;36;18
46;-0,31;48,82;3,18;0,00;11,11;5,87;6,31;-16,66;-7,07;-8,95;40;;39;1
47;6,43;55,33;1,96;0,00;12,61;13,05;6,74;-0,56;-2,44;6,51;47;;38;9
48;4,60;55,69;1,97;4,00;11,22;4,91;-1,83;-2,08;6,87;0,36;34;;36;2
49;6,14;53,12;1,57;0,50;6,45;-0,29;1,54;4,30;-2,20;-2,56;44;;29;15
50;11,61;54,52;2,20;1,40;5,18;7,01;5,47;-0,81;-1,17;1,40;50;;37;13
51;13,38;83,59;1,19;47,00;3,57;4,83;-2,85;16,27;2,97;19,63;11;;2;9
